Category Name,Parent Category Name
Controlled substance analgesics,Drugs and Pharmaceutical Products
Nonsteroidal anti inflammatory drugs NSAIDs,Drugs and Pharmaceutical Products
Sympathomimetic or adrenergic drugs,Drugs and Pharmaceutical Products
Tranquilizers and antimanic and antianxiety drugs,Drugs and Pharmaceutical Products
Vasodilators,Drugs and Pharmaceutical Products
Corticosteroids,Drugs and Pharmaceutical Products
Antihypertensive drugs,Drugs and Pharmaceutical Products
Radiopharmaceuticals and contrast media,Drugs and Pharmaceutical Products
Anthelmintics,Drugs and Pharmaceutical Products
Herbal drugs,Drugs and Pharmaceutical Products
Antiseptics,Drugs and Pharmaceutical Products
Floor coverings,Domestic Appliances and Supplies and Consumer Electronic Products
Bedclothes and table and kitchen linen and towels,Domestic Appliances and Supplies and Consumer Electronic Products
Window treatments,Domestic Appliances and Supplies and Consumer Electronic Products
Domestic appliances,Domestic Appliances and Supplies and Consumer Electronic Products
Domestic kitchenware and kitchen supplies,Domestic Appliances and Supplies and Consumer Electronic Products
Consumer electronics,Domestic Appliances and Supplies and Consumer Electronic Products
Domestic wall treatments,Domestic Appliances and Supplies and Consumer Electronic Products
Clothing,Apparel and Luggage and Personal Care Products
Footwear,Apparel and Luggage and Personal Care Products
Luggage and handbags and packs and cases,Apparel and Luggage and Personal Care Products
Personal care products,Apparel and Luggage and Personal Care Products
Sewing supplies and accessories,Apparel and Luggage and Personal Care Products
Printed media,Published Products
Electronic reference material,Published Products
Signage and accessories,Published Products
Accommodation furniture,Furniture and Furnishings
Commercial and industrial furniture,Furniture and Furnishings
Classroom and instructional and institutional furniture and fixtures,Furniture and Furnishings
Merchandising furniture and accessories,Furniture and Furnishings
Decorative adornments,Furniture and Furnishings
